# DIgSILENT PowerFactory — Initial Conditions
# Scenario: S3 | Hour: t=12 | Siang hari, PV+WT aktif, BESS VI penuh
# scenario: S3
# hour: 12
# demand_MW: 5032.116
# Hsys_MWs: 42757.0
# LargestLoss_MW: 940.654
# TotalPFR_MW: 1815.884
# RoCoF_est_Hz_s: 0.55
# f_QSS_est_Hz: 49.496
# H_required_MWs: 42757.0
#
object_name,object_class,bus,type,H_const,Pmax_MW,Pmin_MW,P_dispatch_MW,Q_dispatch_MVAr,status_on,reserve_MW,loading_pct,SOC_MWh,P_VI_MW,Kb_VI,H_VI_MWs
G1,ElmSym,Bus_G1,PLTU,4.0,1176.0,100.0,940.654,0.0,1,235.346,79.99,,,,
G2,ElmSym,Bus_G2,PLTGU,9.0,1125.0,200.0,340.0,0.0,1,785.0,30.22,,,,
G3,ElmSym,Bus_G3,PLTU,4.0,969.0,80.0,940.654,0.0,1,28.346,97.07,,,,
G4,ElmSym,Bus_G4,PLTG,6.0,130.0,20.0,0.0,0.0,0,0.0,0.0,,,,
G5,ElmSym,Bus_G5,PLTG,6.0,108.0,20.0,0.0,0.0,0,0.0,0.0,,,,
G6,ElmSym,Bus_G6,PLTGU,9.0,1095.0,200.0,752.958,0.0,1,342.042,68.76,,,,
G7,ElmSym,Bus_G7,PLTGU,9.0,810.0,80.0,0.0,0.0,0,0.0,0.0,,,,
G8,ElmSym,Bus_G8,PLTGU,9.0,773.0,80.0,347.85,0.0,1,425.15,45.0,,,,
G9,ElmSym,Bus_G9,PLTU,4.0,870.0,80.0,870.0,0.0,1,0.0,100.0,,,,
G10,ElmSym,Bus_G10,PLTU,4.0,840.0,80.0,840.0,0.0,1,0.0,100.0,,,,
B1,ElmBatt,Bus_B1,BESS_LFP,0.0,60.0,-60.0,0.0,0.0,1,0.0,0.0,155.0,60.0,4.0,240.0
B2,ElmBatt,Bus_B2,BESS_LFP,0.0,20.0,-20.0,0.0,0.0,1,0.0,0.0,50.0,20.0,5.0,100.0
