# DIgSILENT PowerFactory — Initial Conditions
# Scenario: S3 | Hour: t=20 | Peak demand 5132 MW, H_sys minimum
# scenario: S3
# hour: 20
# demand_MW: 5132.4
# Hsys_MWs: 42357.0
# LargestLoss_MW: 931.854
# TotalPFR_MW: 1795.6
# RoCoF_est_Hz_s: 0.55
# f_QSS_est_Hz: 49.4955
# H_required_MWs: 42357.0
#
object_name,object_class,bus,type,H_const,Pmax_MW,Pmin_MW,P_dispatch_MW,Q_dispatch_MVAr,status_on,reserve_MW,loading_pct,SOC_MWh,P_VI_MW,Kb_VI,H_VI_MWs
G1,ElmSym,Bus_G1,PLTU,4.0,1176.0,100.0,931.854,0.0,1,244.146,79.24,,,,
G2,ElmSym,Bus_G2,PLTGU,9.0,1125.0,200.0,340.0,0.0,1,785.0,30.22,,,,
G3,ElmSym,Bus_G3,PLTU,4.0,969.0,80.0,931.854,0.0,1,37.146,96.17,,,,
G4,ElmSym,Bus_G4,PLTG,6.0,130.0,20.0,0.0,0.0,0,0.0,0.0,,,,
G5,ElmSym,Bus_G5,PLTG,6.0,108.0,20.0,0.0,0.0,0,0.0,0.0,,,,
G6,ElmSym,Bus_G6,PLTGU,9.0,1095.0,200.0,790.842,0.0,1,304.158,72.22,,,,
G7,ElmSym,Bus_G7,PLTGU,9.0,810.0,80.0,0.0,0.0,0,0.0,0.0,,,,
G8,ElmSym,Bus_G8,PLTGU,9.0,773.0,80.0,347.85,0.0,1,425.15,45.0,,,,
G9,ElmSym,Bus_G9,PLTU,4.0,870.0,80.0,870.0,0.0,1,0.0,100.0,,,,
G10,ElmSym,Bus_G10,PLTU,4.0,840.0,80.0,840.0,0.0,1,0.0,100.0,,,,
B1,ElmBatt,Bus_B1,BESS_LFP,0.0,60.0,-60.0,60.0,0.0,1,0.0,100.0,70.0,0.0,4.0,0.0
B2,ElmBatt,Bus_B2,BESS_LFP,0.0,20.0,-20.0,20.0,0.0,1,0.0,100.0,30.0,0.0,5.0,0.0
