# DIgSILENT PowerFactory — Initial Conditions
# Scenario: S4 | Hour: t=01 | Jam lembah, RoCoF paling kritis, WT curtailment
# scenario: S4
# hour: 1
# demand_MW: 4225.677
# Hsys_MWs: 49647.0
# LargestLoss_MW: 1056.0
# TotalPFR_MW: 3676.15
# RoCoF_est_Hz_s: 0.531754
# f_QSS_est_Hz: 49.716
# H_required_MWs: 48000.0
#
object_name,object_class,bus,type,H_const,Pmax_MW,Pmin_MW,P_dispatch_MW,Q_dispatch_MVAr,status_on,reserve_MW,loading_pct,SOC_MWh,P_VI_MW,Kb_VI,H_VI_MWs
G1,ElmSym,Bus_G1,PLTU,4.0,1176.0,100.0,1056.0,0.0,1,120.0,89.8,,,,
G2,ElmSym,Bus_G2,PLTGU,9.0,1125.0,200.0,340.0,0.0,1,785.0,30.22,,,,
G3,ElmSym,Bus_G3,PLTU,4.0,969.0,80.0,600.0,0.0,1,369.0,61.92,,,,
G4,ElmSym,Bus_G4,PLTG,6.0,130.0,20.0,0.0,0.0,0,0.0,0.0,,,,
G5,ElmSym,Bus_G5,PLTG,6.0,108.0,20.0,0.0,0.0,0,0.0,0.0,,,,
G6,ElmSym,Bus_G6,PLTGU,9.0,1095.0,200.0,250.0,0.0,1,845.0,22.83,,,,
G7,ElmSym,Bus_G7,PLTGU,9.0,810.0,80.0,248.0,0.0,1,562.0,30.62,,,,
G8,ElmSym,Bus_G8,PLTGU,9.0,773.0,80.0,347.85,0.0,1,425.15,45.0,,,,
G9,ElmSym,Bus_G9,PLTU,4.0,870.0,80.0,540.0,0.0,1,330.0,62.07,,,,
G10,ElmSym,Bus_G10,PLTU,4.0,840.0,80.0,600.0,0.0,1,240.0,71.43,,,,
B1,ElmBatt,Bus_B1,BESS_LFP,0.0,60.0,-60.0,-60.0,0.0,1,0.0,0.0,75.5,0.0,4.0,0.0
B2,ElmBatt,Bus_B2,BESS_LFP,0.0,20.0,-20.0,-20.0,0.0,1,0.0,0.0,45.0,0.0,5.0,0.0
WT1,ElmPVSys,Bus_WT1,WindTurbine_DFIG,0.0,400.0,0.0,323.827,0.0,1,0.0,80.96,,0.0,0.0,0.0
